Użytkownik,Status,Dzień,Minuty
admin_marek,Dostępny,2025-12-15 00:00:00,16
admin_marek,Offline,2025-12-15 00:00:00,211
admin_marek,Przerwa,2025-12-15 00:00:00,84
admin_marek,Rozmowa,2025-12-15 00:00:00,108
agent_anna,Offline,2025-12-13 00:00:00,4173
agent_anna,Dostępny,2025-12-14 00:00:00,69
agent_anna,Przerwa,2025-12-14 00:00:00,83
agent_anna,Offline,2025-12-15 00:00:00,47
agent_anna,Przerwa,2025-12-15 00:00:00,83
agent_anna,Rozmowa,2025-12-16 00:00:00,71
agent_jan,Dostępny,2025-12-13 00:00:00,30
agent_jan,Rozmowa,2025-12-13 00:00:00,4030
agent_jan,Dostępny,2025-12-14 00:00:00,93
agent_jan,Offline,2025-12-14 00:00:00,118
agent_jan,Rozmowa,2025-12-15 00:00:00,107
agent_jan,Dostępny,2025-12-16 00:00:00,0
agent_jan,Offline,2025-12-16 00:00:00,191
agent_jan,Przerwa,2025-12-16 00:00:00,0
agent_jan,Rozmowa,2025-12-16 00:00:00,46
